h3_index,population
8509a097fffffff,613
8509a42bfffffff,334
8509a44ffffffff,2927
8509a463fffffff,1351
8509a473fffffff,1484
8509a477fffffff,1198
8509a47bfffffff,1944
8509a6b7fffffff,7821
85182d27fffffff,6606
85182d2ffffffff,5671
851870d3fffffff,56687
851870d7fffffff,17851
851870dbfffffff,36468
85187403fffffff,11728
85187407fffffff,20335
8518740ffffffff,32378
85187413fffffff,7656
85187417fffffff,18277
85187433fffffff,14601
8518743bfffffff,19814
85187463fffffff,41981
8518746ffffffff,65776
85187473fffffff,35130
85187477fffffff,57186
85187483fffffff,7289
85187487fffffff,7697
8518748bfffffff,10691
8518748ffffffff,8611
85187497fffffff,12980
851874a3fffffff,25472
851874a7fffffff,22858
851874abfffffff,24473
851874affffffff,311642
851874b3fffffff,10435
851874b7fffffff,8124
851874bbfffffff,6537
851875d3fffffff,19448
85190123fffffff,477
8519012bfffffff,1059
8519012ffffffff,444
85190133fffffff,1371
85190137fffffff,12085
851901affffffff,736
85190803fffffff,118
85190807fffffff,291
85190817fffffff,629
8519081bfffffff,93
85190827fffffff,259
8519082bfffffff,285
8519082ffffffff,141
85190833fffffff,261
85190837fffffff,217
85190863fffffff,178
85190887fffffff,155
85190893fffffff,2526
85190897fffffff,457
851908a3fffffff,273
851908abfffffff,536
851908affffffff,580
851908b3fffffff,338
851908b7fffffff,11649
851908bbfffffff,154
851908d3fffffff,765
851908d7fffffff,313
851908dbfffffff,255
85190903fffffff,3674
8519090bfffffff,367
8519090ffffffff,19026
85190913fffffff,1295
85190917fffffff,672
8519091bfffffff,1693
85190923fffffff,43774
85190927fffffff,72210
8519092bfffffff,23043
85190933fffffff,128474
85190937fffffff,57331
8519093bfffffff,16044
85190943fffffff,843
85190947fffffff,4991
85190953fffffff,977
85190957fffffff,593
8519096bfffffff,380
85190973fffffff,910
85190977fffffff,6708
8519097bfffffff,1442
85190983fffffff,384
85190987fffffff,4902
8519098bfffffff,209
8519098ffffffff,344
85190993fffffff,960
85190997fffffff,801
8519099bfffffff,395
851909a3fffffff,47855
851909a7fffffff,272705
851909abfffffff,90541
851909affffffff,703457
851909b3fffffff,4496
851909b7fffffff,87059
851909bbfffffff,7378
851909c3fffffff,1125
851909c7fffffff,326
851909cbfffffff,10943
851909cffffffff,409
851909d3fffffff,158
851909d7fffffff,377
851909dbfffffff,1270
85190a97fffffff,385
85190b33fffffff,1340
85190b93fffffff,341
85190ba3fffffff,199
85190babfffffff,387
85190baffffffff,131
85190bb3fffffff,60
85190c07fffffff,105
85190c0ffffffff,1010
85190c17fffffff,281
85190c23fffffff,150
85190c27fffffff,152
85190c2bfffffff,1039
85190c2ffffffff,408
85190c33fffffff,175
85190c37fffffff,143
85190c3bfffffff,246
85190c5bfffffff,173
85190c67fffffff,204
85190c6bfffffff,1181
85190c77fffffff,230
85190c7bfffffff,568
85190c83fffffff,259
85190c87fffffff,173
85190c8bfffffff,213
85190c93fffffff,227
85190c97fffffff,63
85190ca3fffffff,54
85190ca7fffffff,1359
85190cabfffffff,133
85190caffffffff,98
85190cb3fffffff,79
85190cb7fffffff,302
85190cbbfffffff,420
85190d03fffffff,310
85190d07fffffff,164
85190d0bfffffff,99
85190d0ffffffff,96
85190d13fffffff,146
85190d17fffffff,1420
85190d1bfffffff,163
85190d23fffffff,927
85190d27fffffff,352
85190d2bfffffff,217
85190d2ffffffff,554
85190d33fffffff,304
85190d37fffffff,5361
85190d3bfffffff,476
85190d43fffffff,103
85190d47fffffff,513
85190d4bfffffff,84
85190d4ffffffff,212
85190d53fffffff,135
85190d57fffffff,1122
85190d5bfffffff,243
85190d63fffffff,326
85190d67fffffff,60
85190d6bfffffff,1303
85190d6ffffffff,76
85190d73fffffff,92
85190d77fffffff,118
85190d7bfffffff,1256
85190d83fffffff,3515
85190d87fffffff,1731
85190d8bfffffff,228
85190d8ffffffff,2339
85190d93fffffff,353
85190d97fffffff,4788
85190d9bfffffff,1373
85190da3fffffff,158
85190da7fffffff,464
85190dabfffffff,242
85190daffffffff,2082
85190db3fffffff,114
85190db7fffffff,200
85190dbbfffffff,170
85190dc3fffffff,2439
85190dc7fffffff,841
85190dcbfffffff,335
85190dcffffffff,324
85190dd3fffffff,9263
85190dd7fffffff,1119
85190ddbfffffff,107
85190e07fffffff,884
85190e2bfffffff,393
85190e3bfffffff,1748
85190e87fffffff,951
85190e8ffffffff,409
85190e93fffffff,156
85190e97fffffff,419
85190ea7fffffff,1024
8519280ffffffff,1313
8519281bfffffff,194
8519282bfffffff,9271
85192863fffffff,1850
85192867fffffff,278
8519286bfffffff,314
8519286ffffffff,85
85192877fffffff,1848
85192893fffffff,599
851928c7fffffff,5248
851928d7fffffff,1814
8519292bfffffff,8159
85192967fffffff,6241
8519296ffffffff,9447
85192977fffffff,17784
85192a07fffffff,277
85192a23fffffff,85
85192a27fffffff,184
85192a2bfffffff,184
85192a2ffffffff,42
85192a33fffffff,86
85192a37fffffff,65
85192a3bfffffff,439
85192aa7fffffff,348
85192aaffffffff,447
85192b0bfffffff,5327
85192b1bfffffff,3926
85192b23fffffff,915
85192b27fffffff,2752
85192b2bfffffff,2151
85192b2ffffffff,821
85192b33fffffff,32505
85192b37fffffff,3937
85192b3bfffffff,15197
85192b43fffffff,1218
85192b4bfffffff,96
85192b4ffffffff,416
85192b53fffffff,209
85192b57fffffff,623
85192b5bfffffff,84
85192b63fffffff,6482
85192b67fffffff,6948
85192b6bfffffff,13956
85192b6ffffffff,70015
85192b73fffffff,10085
85192b7bfffffff,8232
85192b9bfffffff,628
85192ba7fffffff,14437
85192baffffffff,8816
85192bc3fffffff,72
85192bc7fffffff,143
85192bcbfffffff,106
85192bcffffffff,65
85192bd3fffffff,78
85192bd7fffffff,139
85192bdbfffffff,67
85192c2bfffffff,548
8519400bfffffff,4486
8519402bfffffff,17168
8519402ffffffff,31444
85194043fffffff,305102
85194047fffffff,22980
8519404bfffffff,28893
8519404ffffffff,32561
85194053fffffff,27594
85194057fffffff,78125
8519405bfffffff,19984
85194063fffffff,5212
85194067fffffff,10346
8519406bfffffff,13215
8519406ffffffff,6793
85194073fffffff,155703
85194077fffffff,25440
8519407bfffffff,9960
851940cbfffffff,12267
85194103fffffff,20118
85194107fffffff,138254
8519410bfffffff,14070
8519410ffffffff,119844
85194113fffffff,26298
85194117fffffff,30609
8519411bfffffff,13385
85194123fffffff,18270
85194127fffffff,11824
8519412bfffffff,23794
8519412ffffffff,11417
85194133fffffff,19027
85194137fffffff,77632
8519413bfffffff,53989
85194143fffffff,6707
85194147fffffff,15801
8519414ffffffff,24811
85194157fffffff,8697
85194163fffffff,18734
85194167fffffff,22910
8519416bfffffff,18404
8519416ffffffff,32354
85194173fffffff,38469
85194177fffffff,40797
8519417bfffffff,16257
851941abfffffff,34120
85194203fffffff,230585
85194207fffffff,238878
8519420bfffffff,98164
8519420ffffffff,306690
85194213fffffff,199569
85194217fffffff,99554
8519421bfffffff,434824
85194223fffffff,141430
85194227fffffff,57795
8519422bfffffff,145599
8519422ffffffff,222506
85194233fffffff,92546
85194237fffffff,25397
8519423bfffffff,334438
85194243fffffff,86671
85194247fffffff,49064
8519424bfffffff,134912
8519424ffffffff,627876
85194253fffffff,79843
85194257fffffff,384640
8519425bfffffff,159891
85194263fffffff,36373
85194267fffffff,17935
8519426bfffffff,122614
8519426ffffffff,9902
85194273fffffff,624
85194277fffffff,114470
8519427bfffffff,202111
85194283fffffff,28978
85194287fffffff,39043
8519428bfffffff,34583
8519428ffffffff,48040
85194293fffffff,63345
85194297fffffff,21431
8519429bfffffff,152776
851942a3fffffff,26169
851942a7fffffff,27940
851942abfffffff,154489
851942affffffff,36963
851942b3fffffff,79288
851942b7fffffff,43761
851942bbfffffff,52219
851942c3fffffff,43511
851942c7fffffff,415512
851942cbfffffff,70279
851942cffffffff,542104
851942d3fffffff,29251
851942d7fffffff,109853
851942dbfffffff,4968
85194303fffffff,38671
85194307fffffff,184654
8519430bfffffff,12585
8519430ffffffff,40771
85194313fffffff,13840
85194317fffffff,47719
8519431bfffffff,6976
85194323fffffff,75370
85194327fffffff,75030
8519432bfffffff,8288
8519432ffffffff,54614
85194333fffffff,33509
85194337fffffff,39251
8519433bfffffff,51086
85194343fffffff,27981
85194347fffffff,39517
8519434bfffffff,141118
8519434ffffffff,231490
85194353fffffff,32456
85194357fffffff,10588
8519435bfffffff,560053
85194363fffffff,146371
85194367fffffff,148388
8519436bfffffff,33759
8519436ffffffff,107928
85194373fffffff,23743
85194377fffffff,20447
8519437bfffffff,17780
85194383fffffff,60679
85194387fffffff,1215
8519438bfffffff,11346
8519438ffffffff,23058
85194393fffffff,12207
85194397fffffff,2208
8519439bfffffff,17261
851943a3fffffff,44816
851943a7fffffff,12778
851943abfffffff,14717
851943affffffff,36146
851943b3fffffff,54278
851943b7fffffff,30783
851943bbfffffff,31783
851943c3fffffff,27713
851943c7fffffff,39062
851943cbfffffff,57334
851943cffffffff,54901
851943d3fffffff,149788
851943d7fffffff,14894
851943dbfffffff,23398
85194603fffffff,14965
85194607fffffff,1805
8519460bfffffff,82198
8519460ffffffff,1589
85194623fffffff,4575
85194627fffffff,22334
8519462bfffffff,18761
8519462ffffffff,4502
85194633fffffff,16456
85194637fffffff,8323
8519463bfffffff,12552
85194643fffffff,79465
85194647fffffff,115145
8519464bfffffff,48823
8519464ffffffff,88348
85194653fffffff,92074
85194657fffffff,258630
8519465bfffffff,111456
85194663fffffff,15605
85194667fffffff,14106
8519466bfffffff,11669
8519466ffffffff,14834
85194673fffffff,2106
85194677fffffff,8971
8519467bfffffff,24560
85194843fffffff,68140
8519484bfffffff,97081
8519484ffffffff,23402
85194853fffffff,86728
85194857fffffff,84762
8519485bfffffff,38756
851948c3fffffff,122332
851948cbfffffff,48891
851948cffffffff,54858
85194a03fffffff,47002
85194a07fffffff,167314
85194a0bfffffff,105548
85194a0ffffffff,158728
85194a13fffffff,55546
85194a17fffffff,27543
85194a1bfffffff,94450
85194a43fffffff,25524
85194a47fffffff,45210
85194a4bfffffff,41807
85194a4ffffffff,20579
85194a53fffffff,41546
85194a57fffffff,121961
85194a5bfffffff,67277
85194a83fffffff,163256
85194a87fffffff,36150
85194a8bfffffff,134951
85194a8ffffffff,36911
85194a93fffffff,301172
